date,meme,index,benchmarked_index,twitter_id
2/19/17,Right in Front of My Salad,0,0,820045837891870720
2/19/17,Shooting Stars,95,14,823345977029378048
2/19/17,Cracking Open a Cold One with the Boys,1,0,817901590141161472
2/19/17,Roll Safe,57,5,904208633386369024
2/19/17,Cash Me Ousside,13,9,820045837891870720
2/19/17,White Guy Blinking,100,11,823345977029378048
2/19/17,Meryl Streep Singing,1,0,817901590141161472
2/19/17,"Kendrick Lamar ""DAMN"" Cover",10,0,904208633386369024
2/19/17,Kellyanne Conway Couch,0,0,820045837891870720
2/19/17,Redbone Remix/What Redbone Sounds Like,1,0,823345977029378048
2/19/17,Tiger Woods Mug Shot,1,0,817901590141161472
2/19/17,Steph Curry High Kick,21,1,904208633386369024
2/19/17,Lebron James Mean Mug,8,1,820045837891870720
2/19/17,Mocking Spongebob,0,0,823345977029378048
2/19/17,Lavar Ball,0,0,817901590141161472
2/19/17,Singing Shaq,53,1,904208633386369024
2/19/17,The Future Liberals Want,0,0,820045837891870720
2/19/17,Expanding Brain,60,1,823345977029378048
2/19/17,The Floor Is,0,0,817901590141161472
2/19/17,Kendall Jenner's Pepsi Ad,3,0,904208633386369024
2/19/17,Fidget Spinners,1,0,820045837891870720
2/19/17,Pennywise the Clown,2,0,823345977029378048
2/19/17,But That's None of my Business,67,7,869971220938326016
2/19/17,"Homeboy's gonna, like, get it",0,0,817901590141161472
2/19/17,Trump Orb,2,0,904208633386369024
2/19/17,Bush's poncho,3,0,820045837891870720
2/19/17,BBC Dad,3,0,823345977029378048
2/19/17,Trump and Pope Francis,0,0,817901590141161472
2/19/17,13 Reasons Why,2,0,904208633386369024
2/19/17,Gold Ceelo,18,0,820045837891870720
2/19/17,#GetOutChallenge,25,2,823345977029378048
2/19/17,United Airlines,1,1,817901590141161472
2/26/17,Salt Bae,18,4,817901590141161472
2/26/17,Man's Not Hot,7,0,904208633386369024
2/26/17,Obama + Biden Bromance,4,1,820045837891870720
2/26/17,Sad Melania,3,0,823345977029378048
2/26/17,Dancing Winnie the Pooh,37,0,817901590141161472
2/26/17,Trump Holding Executive Orders,7,0,904208633386369024
2/26/17,The Oscars Snafu,100,9,820045837891870720
2/26/17,Obamacare vs. GOP Replacement,16,0,823345977029378048
2/26/17,Crying Northwestern Kid,16,0,817901590141161472
2/26/17,Babadook,2,0,904208633386369024
2/26/17,Gorilla TED Talk,15,0,820045837891870720
2/26/17,Emoji Sheriff,31,0,823345977029378048
2/26/17,The Snapchat Hot Dog,2,1,817901590141161472
2/26/17,Distracted Boyfriend,1,0,904208633386369024
2/26/17,Taylor Swift Formation,11,1,820045837891870720
2/26/17,Joel Osteen Hiding from Harvey Victims,0,0,823345977029378048
2/26/17,Elf on the Shelf Rhymes,1,0,817901590141161472
2/26/17,First of All,1,0,904208633386369024
2/26/17,#BowWowChallenge,3,0,820045837891870720
2/26/17,Crash Bandicoot's Woah,13,1,823345977029378048
2/26/17,"Brother, May I have some Oats",5,0,817901590141161472
2/26/17,Side-eyeing Michelle Obama,11,1,904208633386369024
2/26/17,Gossiping Gosling,100,3,820045837891870720
2/26/17,Tiny Trump,24,1,823345977029378048
2/26/17,RompHim,0,0,817901590141161472
2/26/17,Donald Trump's Paper Towel Shot,0,0,904208633386369024
2/26/17,Right in Front of My Salad,0,0,820045837891870720
2/26/17,Shooting Stars,100,14,823345977029378048
2/26/17,Cracking Open a Cold One with the Boys,0,0,817901590141161472
2/26/17,Roll Safe,53,4,904208633386369024
2/26/17,Cash Me Ousside,10,6,820045837891870720
2/26/17,White Guy Blinking,66,8,823345977029378048
