names,date,sentences
Ken Baker,2/12/17,1806
Ken Baker,2/19/17,1502
Ken Baker,2/26/17,1682
Ken Baker,3/5/17,1578
Ken Baker,3/12/17,1840
Ken Baker,3/19/17,1966
Ken Baker,3/26/17,2055
Ken Baker,4/2/17,1829
Ken Baker,4/9/17,1794
Ken Baker,4/16/17,1682
Ken Baker,4/23/17,1867
Ken Baker,4/30/17,1565
Ken Baker,5/7/17,1306
Ken Baker,5/14/17,1384
Ken Baker,5/21/17,1458
Ken Baker,5/28/17,1512
Ken Baker,6/4/17,1435
Ken Baker,6/11/17,1595
Ken Baker,6/18/17,1836
Ken Baker,6/25/17,1594
Ken Baker,7/2/17,1208
Ken Baker,7/9/17,1534
Ken Baker,7/16/17,1554
Ken Baker,7/23/17,1358
Ken Baker,7/30/17,1416
Ken Baker,8/6/17,1336
Ken Baker,8/13/17,1500
Ken Baker,8/20/17,1202
Ken Baker,8/27/17,1363
Ken Baker,9/3/17,1558
Ken Baker,9/10/17,1700
Ken Baker,9/17/17,1500
Ken Baker,9/24/17,1631
Ken Baker,10/1/17,1610
Ken Baker,10/8/17,2223
Ken Baker,10/15/17,1557
Ken Baker,10/22/17,1644
Ken Baker,10/29/17,1729
Ken Baker,11/5/17,1542
Ken Baker,11/12/17,1261
Ken Baker,11/19/17,1383
Ken Baker,11/26/17,347
Kevin Spacey,1/1/17,1682
Kevin Spacey,1/8/17,1666
Kevin Spacey,1/15/17,2082
Kevin Spacey,1/22/17,2112
Kevin Spacey,1/29/17,2269
Kevin Spacey,2/5/17,2288
Kevin Spacey,2/12/17,2527
Kevin Spacey,2/19/17,2399
Kevin Spacey,2/26/17,2765
Kevin Spacey,3/5/17,2299
Kevin Spacey,3/12/17,2632
Kevin Spacey,3/19/17,3072
Kevin Spacey,3/26/17,2788
Kevin Spacey,4/2/17,2596
Kevin Spacey,4/9/17,2477
Kevin Spacey,4/16/17,2337
Kevin Spacey,4/23/17,2963
Kevin Spacey,4/30/17,3200
Kevin Spacey,5/7/17,2341
Kevin Spacey,5/14/17,2585
Kevin Spacey,5/21/17,2163
Kevin Spacey,5/28/17,2766
Kevin Spacey,6/4/17,3267
Kevin Spacey,6/11/17,3144
Kevin Spacey,6/18/17,1907
Kevin Spacey,6/25/17,1968
Kevin Spacey,7/2/17,1642
Kevin Spacey,7/9/17,1769
Kevin Spacey,7/16/17,1900
Kevin Spacey,7/23/17,1898
Kevin Spacey,7/30/17,1733
Kevin Spacey,8/6/17,1699
Kevin Spacey,8/13/17,2057
Kevin Spacey,8/20/17,1685
Kevin Spacey,8/27/17,2098
Kevin Spacey,9/3/17,2279
Kevin Spacey,9/10/17,2135
Kevin Spacey,9/17/17,2338
Kevin Spacey,9/24/17,2391
Kevin Spacey,10/1/17,2080
Kevin Spacey,10/8/17,2098
Kevin Spacey,10/15/17,2390
Kevin Spacey,10/22/17,2088
Kevin Spacey,10/29/17,8338
Kevin Spacey,11/5/17,4596
Kevin Spacey,11/12/17,3294
Kevin Spacey,11/19/17,2341
Kevin Spacey,11/26/17,719
Hamilton Fish,1/1/17,2062
Hamilton Fish,1/8/17,2122
Hamilton Fish,1/15/17,2212
Hamilton Fish,1/22/17,2223
Hamilton Fish,1/29/17,1708
Hamilton Fish,2/5/17,2149
Hamilton Fish,2/12/17,2140
Hamilton Fish,2/19/17,2529
Hamilton Fish,2/26/17,2630
Hamilton Fish,3/5/17,2333
Hamilton Fish,3/12/17,2679
Hamilton Fish,3/19/17,3104
Hamilton Fish,3/26/17,3085
Hamilton Fish,4/2/17,2566
Hamilton Fish,4/9/17,2746
Hamilton Fish,4/16/17,2402
Hamilton Fish,4/23/17,2396
Hamilton Fish,4/30/17,2512
Hamilton Fish,5/7/17,2178
Hamilton Fish,5/14/17,2276
Hamilton Fish,5/21/17,2373
Hamilton Fish,5/28/17,2257
Hamilton Fish,6/4/17,2167
Hamilton Fish,6/11/17,2269
Hamilton Fish,6/18/17,2447
Hamilton Fish,6/25/17,2712
Hamilton Fish,7/2/17,2429
Hamilton Fish,7/9/17,2987
Hamilton Fish,7/16/17,2364
Hamilton Fish,7/23/17,2336
Hamilton Fish,7/30/17,2288
Hamilton Fish,8/6/17,2225
Hamilton Fish,8/13/17,1794
Hamilton Fish,8/20/17,2158
Hamilton Fish,8/27/17,2757
Hamilton Fish,9/3/17,2054
Hamilton Fish,9/10/17,1957
Hamilton Fish,9/17/17,2494
Hamilton Fish,9/24/17,2386
Hamilton Fish,10/1/17,2373
Hamilton Fish,10/8/17,2080
Hamilton Fish,10/15/17,2242
Hamilton Fish,10/22/17,2635
Hamilton Fish,10/29/17,2816
Hamilton Fish,11/5/17,2551
Hamilton Fish,11/12/17,1982
Hamilton Fish,11/19/17,2079
Hamilton Fish,11/26/17,771
Michael Oreskes,1/1/17,4256
Michael Oreskes,1/8/17,5416
Michael Oreskes,1/15/17,5306
Michael Oreskes,1/22/17,5174
Michael Oreskes,1/29/17,4995
Michael Oreskes,2/5/17,5758
Michael Oreskes,2/12/17,9542
Michael Oreskes,2/19/17,6385
Michael Oreskes,2/26/17,5417
Michael Oreskes,3/5/17,5328
Michael Oreskes,3/12/17,6329
Michael Oreskes,3/19/17,6780
Michael Oreskes,3/26/17,7034
